,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
325,¿ÀÅÂ°ï20KSLF,92,254,231,33,62,11,1,5,90,33,15,6,13,6,0,46,6,4,0,.268,.324,.390,.714,.323,85.4,0.65,0.03
326,ÀÌÇö¼®21SC,21,52,46,7,16,5,0,4,33,15,0,0,3,0,0,15,0,1,2,.348,.373,.717,1.090,.456,170.6,0.65,0.10
327,¾ÈÀç¼®21µÎSS,67,166,151,24,39,6,2,2,55,12,1,0,8,4,0,42,4,0,3,.258,.307,.364,.672,.314,82.7,0.65,-1.13
328,±è¼º¿í19NCF,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,.230,.303,.387,.689,.306,80.5,0.65,-0.28
329,½º¸ô¸°½ºÅ°19NRF,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,.229,.298,.439,.737,.332,98.5,0.64,0.78
330,¾ÈÁß¿­21·ÔC,25,68,53,6,13,1,0,2,20,7,0,0,15,0,0,11,0,0,0,.245,.412,.377,.789,.383,124.9,0.64,0.60
331,±èÁöÂù21»ïSS,93,256,224,41,62,5,0,1,70,21,19,3,21,0,0,24,0,8,3,.277,.335,.313,.647,.304,73.3,0.64,-0.02
332,·ùÁöÇõ20µÎK3B,25,51,42,13,16,3,0,1,22,5,1,1,1,5,0,6,3,1,2,.381,.440,.524,.964,.425,155.7,0.63,0.19
333,ÀÌÃµ¿õ20LCF,87,350,303,42,78,11,2,3,102,36,8,5,35,4,0,41,7,2,6,.257,.336,.337,.673,.315,83.5,0.62,-0.79
334,±èÅÂ±º21NC,73,207,174,20,41,6,0,5,62,19,0,1,17,7,0,21,4,7,2,.236,.325,.356,.681,.313,78.9,0.62,-0.30
335,ÃÖÇ×20S2B,47,155,132,21,35,3,0,2,44,15,1,0,21,1,1,27,3,0,1,.265,.368,.333,.701,.334,92.8,0.62,-0.09
336,À¯ÇÑÁØ20KDH,117,420,379,47,106,17,0,11,156,63,0,0,39,0,2,50,9,1,1,.280,.346,.412,.758,.345,99.5,0.61,0.72
337,Áö¼ºÁØ18ÇÑC,99,224,207,22,57,7,0,7,85,29,1,0,12,2,0,55,6,2,1,.275,.320,.411,.730,.319,78.7,0.61,2.43
338,°­Áø¼º21N1B,82,308,270,36,72,17,0,5,104,29,6,2,23,12,1,47,9,1,2,.267,.349,.385,.734,.345,101.2,0.61,-0.34
339,ÀåÁøÇõ19ÇÑCF,113,349,315,42,80,16,5,1,109,24,13,5,26,5,0,74,4,2,1,.254,.320,.346,.666,.312,88.2,0.61,-0.72
340,±è¹Î¼º21L3B,79,287,239,20,50,14,0,5,79,24,2,1,34,5,1,46,5,6,3,.209,.317,.331,.647,.303,78.8,0.60,-0.28
341,Á¶¼öÇà21µÎCF,81,87,69,26,19,2,1,0,23,5,10,4,15,2,0,21,1,1,0,.275,.419,.333,.752,.370,118.5,0.60,0.14
342,±è°­¹Î20SCF,120,318,280,37,68,11,0,11,112,41,7,5,27,4,2,61,9,5,2,.243,.316,.400,.716,.318,80.7,0.60,-0.06
343,½Åº»±â19·ÔSS,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,.256,.314,.288,.602,.286,68.5,0.60,-1.68
344,Áö½Ã¿Ï21·ÔC,53,140,122,21,25,6,0,5,46,17,0,0,13,5,0,44,4,0,0,.205,.307,.377,.684,.321,83.0,0.60,0.02
345,¿À¼±Áø19ÇÑSS,122,453,392,37,88,16,0,3,113,36,7,2,38,10,0,72,8,10,3,.224,.307,.288,.595,.281,66.7,0.59,-1.28
346,¹ÚÇÑÀÌ18»ïDH,114,392,342,47,97,16,0,10,143,43,5,3,43,0,2,91,9,6,1,.284,.363,.418,.781,.342,95.6,0.59,0.35
347,¶ó¸ð½º21L1B,51,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,.243,.317,.422,.739,.341,106.8,0.58,-0.15
348,ÀÓº´¿í19Å°CF,117,419,379,39,92,17,5,0,119,41,10,2,23,11,0,110,6,6,0,.243,.305,.314,.619,.290,69.1,0.57,0.33
349,À¯Àç½Å18KLF,46,40,33,19,14,3,1,1,22,8,4,0,7,0,0,10,0,0,0,.424,.525,.667,1.192,.512,208.2,0.57,0.38
350,³ë¼ö±¤19SLF,117,445,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,.250,.333,.312,.644,.304,80.9,0.57,0.92
351,°­ÇÑ¿ï20»ïSS,34,122,105,13,32,3,0,1,38,10,1,0,11,0,0,24,3,5,1,.305,.368,.362,.729,.330,90.8,0.55,0.45
352,°­ÅÂÀ²20·ÔC,14,18,11,2,5,0,0,2,11,2,0,0,7,0,0,2,1,0,0,.455,.667,1.000,1.667,.661,305.1,0.55,0.03
353,Á¤Çö21SN2B,40,98,77,13,21,4,1,0,27,3,0,0,11,5,0,16,3,5,0,.273,.398,.351,.749,.349,104.3,0.54,-0.35
354,Á¶¿ëÈ£19KRF,87,211,188,15,55,6,3,0,67,19,3,4,21,0,0,28,0,2,0,.293,.364,.356,.720,.339,103.2,0.53,0.17
355,ÃÖ¿ëÁ¦21µÎC,46,75,64,7,19,3,0,0,22,10,0,0,8,2,0,13,0,0,1,.297,.387,.344,.730,.356,110.0,0.53,0.71
356,¹Ú½Â¿í18SSS,51,79,65,11,20,3,0,0,23,9,4,1,10,2,0,16,1,2,0,.308,.416,.354,.769,.356,105.0,0.53,0.05
357,±èÁØÅÂ21·ÔC,47,131,111,17,23,5,0,4,40,15,0,0,17,1,0,35,2,0,2,.207,.313,.360,.673,.317,80.3,0.53,-0.19
358,±èÅÂÁø19NLF,123,399,374,44,103,14,5,5,142,46,12,4,16,1,0,67,3,5,3,.275,.305,.380,.684,.311,83.6,0.53,-1.28
359,Àå¿µ¼®19Å°3B,119,413,372,41,92,15,0,7,128,62,0,0,27,9,0,77,14,0,5,.247,.310,.344,.654,.307,83.4,0.53,0.11
360,Àå½ÂÇö21µÎC,75,195,164,16,37,8,0,2,51,26,0,0,18,8,0,45,2,4,1,.226,.330,.311,.641,.307,79.4,0.52,-0.37
361,±èÇüÁØ20NC,43,80,70,12,20,1,0,3,30,11,0,0,10,0,0,21,1,0,0,.286,.375,.429,.804,.370,115.1,0.52,-0.23
362,±èÅÂ±º20NC,79,131,113,16,33,6,0,1,42,18,0,0,6,4,0,14,3,7,1,.292,.347,.372,.719,.318,81.5,0.51,0.29
363,º£ÅºÄÚÆ®19NRF,53,224,203,23,50,8,0,8,82,29,1,1,18,1,0,51,1,0,2,.246,.308,.404,.712,.326,93.5,0.51,-1.58
364,¹é¿ëÈ¯20KC,51,106,91,12,20,4,0,5,39,10,0,0,14,0,0,29,2,1,0,.220,.324,.429,.752,.336,93.2,0.51,-0.10
365,·ùÁöÇõ19µÎSS,118,316,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,.250,.323,.286,.609,.289,69.9,0.51,0.14
366,±è¼ºÇö19SSS,144,472,426,45,105,16,2,1,128,34,6,2,33,2,0,43,15,8,3,.246,.302,.300,.602,.282,66.1,0.50,-1.99
367,³ªÁÖÈ¯20K3B,64,222,204,21,57,5,0,6,80,26,0,0,12,1,0,44,6,4,1,.279,.321,.392,.713,.320,82.7,0.50,-0.47
368,ÇÑ½ÂÅÃ20KC,83,262,226,22,51,6,0,9,84,29,0,0,21,6,0,58,7,9,0,.226,.308,.372,.680,.303,71.4,0.50,-0.17
369,¾Ë¸óÅ×21KLF,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2,.272,.337,.406,.744,.347,100.0,0.50,-0.46
370,¾ÈÁß¿­18·ÔC,60,176,154,19,38,11,0,4,61,18,0,0,12,3,0,56,4,7,0,.247,.314,.396,.710,.302,68.4,0.49,-0.41
371,±èÅÂÁø21K3B,78,334,305,34,85,10,4,0,103,27,7,4,20,0,1,48,6,6,3,.279,.320,.338,.658,.306,74.7,0.49,-0.51
372,¹®±ÔÇö18·ÔSS,122,349,316,42,87,19,1,6,126,41,3,1,18,0,0,45,9,9,6,.275,.309,.399,.708,.302,68.4,0.48,-1.41
373,ÀÌÁø¿µ18KDH,110,312,283,40,90,17,1,3,118,39,2,1,25,0,1,35,3,1,3,.318,.370,.417,.787,.351,98.4,0.48,1.46
374,ÇÑ½ÂÅÃ21KC,60,172,141,13,30,5,0,2,41,10,0,0,23,3,0,44,2,5,0,.213,.335,.291,.626,.302,71.9,0.48,-0.73
375,À¯¹Î»ó20K1B,126,455,390,38,96,23,0,8,143,65,0,0,53,6,1,80,13,2,4,.246,.342,.367,.709,.329,89.0,0.48,0.98
376,Á¤ÁøÈ£18µÎRF,111,299,269,53,81,12,1,2,101,37,8,1,19,1,0,44,8,9,1,.301,.348,.375,.724,.319,81.3,0.47,-0.84
377,±èÅÂ±Õ18ÇÑDH,73,271,254,25,80,11,0,10,121,34,0,1,13,4,1,56,7,0,0,.315,.358,.476,.834,.364,108.2,0.47,1.53
378,ÀÌ¿øÀç18NLF,77,150,138,12,42,10,0,5,67,19,0,2,10,0,0,33,3,0,2,.304,.347,.486,.832,.359,107.4,0.47,-0.17
379,È²´ëÀÎ20K1B,63,138,116,14,32,4,0,4,48,16,0,0,21,0,0,29,5,0,1,.276,.384,.414,.798,.370,115.2,0.47,0.51
380,°­½ÂÈ£21µÎ2B,73,240,211,35,47,10,2,6,79,25,6,1,16,5,1,54,7,7,1,.223,.292,.374,.666,.299,75.5,0.47,-1.39
381,ÀÌÇØÃ¢20ÇÑC,70,135,119,11,32,5,0,3,46,17,0,2,9,4,0,23,6,1,2,.269,.336,.387,.722,.330,92.8,0.47,-0.29
382,Àª¸®¾ö½¼19»ïRF,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0,1,.273,.327,.409,.737,.339,101.9,0.46,-0.42
383,¹ÚÁØ¿µ21N3B,81,226,193,30,41,5,1,6,66,25,4,2,20,9,0,75,7,2,2,.212,.313,.342,.655,.310,76.4,0.46,-1.99
384,ÀÌÀ¯Âù20µÎ3B,99,106,87,30,22,2,1,0,26,6,13,4,14,2,0,25,2,2,1,.253,.365,.299,.664,.319,84.6,0.45,-0.12
385,·¯¼¿20Å°2B,65,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,.254,.317,.336,.653,.304,75.7,0.45,-1.03
386,±è¹Î¼ö21»ïC,40,84,74,9,20,5,0,3,34,13,0,0,5,1,0,12,2,2,2,.270,.317,.459,.777,.342,94.9,0.45,0.25
387,°­°æÇÐ20ÇÑ2B,93,237,192,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,.229,.353,.339,.692,.323,87.8,0.44,0.57
388,±è»ó¼ö18»ïSS,122,499,453,63,119,13,1,10,164,50,12,9,27,8,0,91,11,8,3,.263,.314,.362,.676,.299,67.1,0.44,-1.49
389,È²À±È£19K2B,57,130,123,9,37,5,2,1,49,9,2,2,5,0,0,12,2,1,1,.301,.326,.398,.724,.331,97.3,0.43,-0.25
390,¹ÚÂùÈ£21KSS,89,332,293,37,71,14,3,1,94,46,5,3,29,0,0,52,7,7,3,.242,.308,.321,.629,.294,66.9,0.42,-0.10
391,ÀÌÇÐÁÖ20»ïSS,63,240,203,30,47,11,0,4,70,28,6,2,26,2,1,58,3,4,5,.232,.318,.345,.663,.301,70.3,0.42,-0.20
392,ÃÖÇ×21S2B,17,52,48,5,17,1,1,0,20,4,1,0,3,0,0,10,3,1,0,.354,.392,.417,.809,.376,125.7,0.41,0.02
393,ÀÌÈï·Ã21SC,69,126,109,12,25,3,0,2,34,8,0,0,11,4,0,29,3,2,0,.229,.323,.312,.635,.305,74.0,0.41,-0.00
394,ÃÖÁ¤¿ø21N2B,35,125,112,19,32,2,1,0,36,3,7,4,9,1,0,18,0,3,0,.286,.344,.321,.666,.316,81.8,0.41,-0.20
395,ÃÖ¿µÁø20»ï3B,57,114,99,14,29,3,0,1,35,11,2,3,11,2,0,15,3,1,1,.293,.372,.354,.725,.342,98.2,0.41,-0.73
396,¼Û¹Î¼·21KRF,92,56,42,33,10,0,0,0,10,7,9,1,12,0,0,19,0,2,0,.238,.407,.238,.646,.329,88.3,0.40,0.22
397,ÀÌ¿µºó21LSS,38,63,55,9,16,2,0,1,21,9,1,1,7,0,0,15,1,1,0,.291,.371,.382,.753,.354,111.3,0.40,0.66
398,Å©·¹ÀÍ21Å°RF,25,102,88,8,25,7,0,1,35,10,0,0,11,2,0,17,1,0,1,.284,.373,.398,.770,.365,114.3,0.39,-0.02
399,¹Úµ¿¿ø18³ØC,39,128,117,19,29,3,0,6,50,17,0,0,9,0,1,25,3,2,0,.248,.302,.427,.729,.308,75.6,0.39,-0.29
400,¹Ú¿ëÅÃ20LDH,97,236,217,22,65,15,0,2,86,35,2,0,15,0,1,34,7,0,4,.300,.339,.396,.735,.335,97.0,0.39,0.08
401,¼Õ½ÃÇå19NSS,68,149,135,17,36,4,1,2,48,10,1,2,5,5,0,23,2,4,0,.267,.317,.356,.673,.308,81.5,0.38,-0.79
402,Àüº´¿ì21Å°3B,89,221,181,29,34,8,0,5,57,29,2,1,28,8,0,73,0,3,1,.188,.321,.315,.636,.307,78.0,0.38,0.02
403,Á¤ÁøÈ£20ÇÑLF,112,321,277,30,77,14,1,2,99,18,9,7,29,3,1,49,5,10,2,.278,.351,.357,.708,.322,87.3,0.38,-0.82
404,·ùÁöÇõ21K1B,60,205,166,19,41,5,0,1,49,19,0,0,29,5,1,24,5,2,3,.247,.370,.295,.665,.327,88.3,0.37,-0.59
405,±è¹ÎÇÏ20ÇÑRF,35,84,73,10,21,6,0,1,30,11,0,0,8,2,0,16,2,1,0,.288,.374,.411,.785,.360,112.4,0.37,-0.01
406,¹®»óÃ¶20K1B,72,169,152,23,40,3,2,8,71,25,0,1,10,2,0,41,4,3,2,.263,.313,.467,.780,.338,95.8,0.36,-0.93
407,ÀÌÁø¿µ21KCF,13,42,35,8,8,2,1,2,18,5,1,0,3,4,0,19,0,0,0,.229,.357,.514,.871,.394,133.3,0.36,0.18
408,±èÂùÇü19NSS,76,154,141,16,39,4,2,1,50,12,3,4,6,4,0,21,1,2,1,.277,.322,.355,.677,.313,85.3,0.36,-0.31
409,±èÈ£·É21KCF,58,150,127,16,27,2,0,4,41,15,4,1,15,6,0,43,2,2,0,.213,.324,.323,.647,.311,77.7,0.35,-0.91
410,±è¹ÎÇõ21KLF,45,105,90,16,27,1,2,0,32,5,2,1,12,1,0,18,2,2,0,.300,.388,.356,.744,.355,105.2,0.35,-0.21
411,·ù½ÂÇö18K3B,35,85,75,9,23,3,1,1,31,13,0,0,7,1,0,12,2,1,1,.307,.369,.413,.782,.347,99.6,0.34,0.36
412,±èÈ¸¼º18ÇÑ3B,58,102,85,15,22,5,0,4,39,17,1,0,11,3,0,26,3,3,0,.259,.364,.459,.823,.351,98.8,0.34,0.25
413,¹Ú½Â¿í20K2B,97,128,110,23,29,3,2,1,39,10,5,1,11,4,0,37,1,2,1,.264,.349,.355,.704,.327,86.9,0.34,-0.37
414,¸ðÃ¢¹Î20N1B,61,145,132,10,40,10,2,2,60,13,0,0,8,1,1,22,5,2,2,.303,.343,.455,.797,.350,100.9,0.34,0.51
415,¹Ú¿ëÅÃ19LDH,64,215,195,19,55,9,0,1,67,22,3,1,18,0,1,30,3,0,2,.282,.340,.344,.683,.321,92.7,0.34,-0.85
416,ÃÖÁøÇà19ÇÑLF,45,129,117,10,27,6,0,6,51,19,0,0,9,2,0,28,3,0,1,.231,.295,.436,.731,.330,100.5,0.34,0.09
417,½Å¹ü¼ö19KC,39,65,57,4,12,5,0,2,23,7,0,0,7,1,0,14,1,0,0,.211,.308,.404,.711,.327,96.2,0.34,-0.08
418,Áö¼ºÁØ19ÇÑC,58,109,104,7,26,6,0,2,38,11,0,0,5,0,0,21,3,0,0,.250,.284,.365,.650,.300,79.7,0.33,-1.02
419,ÇÑ½ÂÅÃ18KC,61,101,89,10,22,6,0,3,37,15,0,0,7,2,0,24,4,3,0,.247,.316,.416,.732,.313,77.5,0.33,-0.70
420,±èÀçÇö18SLF,53,77,65,19,18,1,1,1,24,5,7,1,9,3,0,17,0,0,0,.277,.390,.369,.759,.353,102.6,0.33,0.68
421,ÀÌÀç¿ø21LRF,26,90,83,14,25,4,0,2,35,8,2,0,7,0,0,23,2,0,0,.301,.356,.422,.777,.364,119.2,0.32,0.17
422,¼­»ó¿ì18L,51,84,69,10,20,0,0,2,26,14,0,1,12,1,0,18,1,0,2,.290,.393,.377,.770,.354,106.5,0.32,-0.01
423,Á¤Àº¿ø18ÇÑ2B,98,227,201,33,50,5,3,4,73,20,5,1,22,1,0,50,0,2,1,.249,.324,.363,.688,.308,71.5,0.32,-0.46
424,ÃÖ¿µÁø21»ï3B,31,49,47,8,15,1,2,1,23,5,1,0,1,1,0,10,0,0,0,.319,.347,.489,.836,.382,125.0,0.31,0.05
425,Á¤ÁÖÇö21L2B,70,207,177,25,41,6,1,3,58,10,3,3,23,0,0,32,4,7,0,.232,.320,.328,.648,.301,76.0,0.31,-0.73
426,±è¿õºó21Å°3B,68,224,187,19,44,11,0,3,64,23,1,0,26,7,1,56,2,2,2,.235,.347,.342,.689,.328,91.0,0.30,-0.46
427,±Çµ¿Áø21KSS,67,77,59,18,14,4,0,1,21,6,3,3,17,0,0,27,0,1,0,.237,.408,.356,.764,.370,115.1,0.30,-0.14
428,³ª°æ¹Î18·ÔCF,87,71,57,23,15,2,0,0,17,1,12,4,10,3,0,21,0,1,0,.263,.400,.298,.698,.337,92.2,0.30,-0.22
429,ÃÖÁ¤¿ø20N2B,49,48,40,18,11,3,1,0,16,2,4,0,7,0,0,13,1,1,0,.275,.383,.400,.783,.358,106.6,0.29,0.17
430,¼ÕÈ£¿µ20L3B,22,31,30,9,11,2,0,0,13,3,5,0,1,0,0,6,2,0,0,.367,.387,.433,.820,.380,125.1,0.29,-0.34
431,Èú¸®21ÇÑ1B,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,.257,.306,.394,.700,.324,88.8,0.29,-0.57
432,±èÀçÀ¯20·ÔCF,68,133,116,20,30,1,0,1,34,9,10,2,12,3,0,35,2,2,0,.259,.344,.293,.637,.306,74.5,0.28,0.16
433,ÃÖ¿øÁØ18KSS,101,331,302,46,82,14,1,4,110,32,10,4,20,4,0,58,4,4,1,.272,.324,.364,.688,.308,73.7,0.28,1.02
434,±èÈ£·É20KCF,88,159,138,36,32,5,2,4,53,16,3,3,14,3,0,55,2,3,1,.232,.314,.384,.698,.313,77.5,0.28,-0.41
435,°­¹Î±¹19KSS,58,94,88,12,24,0,1,0,26,7,2,0,6,0,0,17,2,0,0,.273,.319,.295,.615,.295,72.6,0.28,-0.14
436,±è±Ô¹Î19Å°LF,94,250,222,33,55,8,1,3,74,24,2,4,22,4,0,68,4,0,2,.248,.324,.333,.657,.312,86.0,0.28,-0.62
437,¹Ú¼¼Çõ21µÎC,58,160,137,13,30,7,0,0,37,16,3,1,15,4,0,26,2,2,2,.219,.310,.270,.580,.284,62.1,0.27,-0.94
438,ÇÑ½ÂÅÃ19KC,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,.223,.299,.303,.602,.278,61.6,0.27,-0.50
439,À±ÇüÁØ21N1B,31,51,46,8,16,0,0,4,28,8,0,1,2,0,0,10,1,2,1,.348,.367,.609,.976,.415,143.3,0.26,-0.35
440,À¯¹Î»ó18KDH,31,58,48,9,13,2,1,3,26,14,0,0,8,0,0,14,3,0,2,.271,.362,.542,.904,.376,119.5,0.26,-0.11
441,ÇÏÁÖ¼®18ÇÑSS,141,517,484,67,123,20,3,9,176,52,14,12,28,4,0,130,7,1,0,.254,.300,.364,.664,.296,64.3,0.26,-1.46
442,Á¤ÀÇÀ±18SDH,73,239,217,27,59,9,0,11,101,38,1,1,19,2,1,29,8,0,1,.272,.335,.465,.800,.345,94.9,0.26,0.14
443,È£À×21KRF,28,122,104,17,21,4,0,5,40,24,3,0,14,2,0,22,2,0,2,.202,.303,.385,.688,.319,82.8,0.26,0.66
444,¿ÀÀç¿ø20µÎ2B,85,174,155,25,36,7,1,5,60,27,10,5,16,0,0,49,3,1,2,.232,.301,.387,.688,.309,82.7,0.25,-1.04
445,Ã¤ÅÂÀÎ19·Ô1B,59,182,167,11,42,11,0,5,68,29,0,0,11,2,1,45,5,0,2,.252,.302,.407,.709,.321,91.5,0.25,-0.44
446,°­°æÇÐ19ÇÑSS,52,135,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,.239,.341,.274,.615,.297,77.6,0.25,-0.26
447,±èÀçÈ£21µÎSS,58,180,150,20,34,7,0,1,44,22,0,1,21,2,0,23,5,5,2,.227,.326,.293,.619,.296,70.7,0.24,-0.56
448,¹Ú¼ºÇÑ20SSS,41,112,99,7,24,2,0,2,32,8,1,1,11,1,0,21,1,1,0,.242,.324,.323,.648,.305,73.2,0.24,-0.59
449,¹é¿ëÈ¯19KC,28,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,.234,.294,.404,.698,.320,90.9,0.24,-0.37
450,ÃÖ½Â¹Î19NCF,24,10,9,5,4,1,0,0,5,1,5,2,1,0,0,2,0,0,0,.444,.500,.556,1.056,.487,204.2,0.24,0.09
451,ÀÌ¼º°ï21»ïÇÑDH,31,94,81,8,21,5,1,1,31,6,1,2,11,1,0,27,3,1,0,.259,.355,.383,.738,.347,103.9,0.24,-0.35
452,¿ÀÅÂ°ï21SLF,86,151,141,25,36,5,0,5,56,18,5,4,9,1,0,37,4,0,0,.255,.305,.397,.702,.325,87.0,0.24,-0.44
453,³ë¼ö±¤20SÇÑCF,100,330,291,39,73,10,3,1,92,21,11,7,34,2,2,64,2,2,1,.251,.332,.316,.649,.305,76.7,0.23,-0.77
454,±èÀÎÅÂ20µÎLF,75,107,81,14,15,5,0,1,23,13,0,0,21,2,0,13,3,2,1,.185,.362,.284,.646,.316,85.5,0.23,0.95
455,ÃÖ¿µÁø19»ï3B,96,275,251,29,63,15,1,5,95,20,4,1,14,2,2,47,4,8,0,.251,.296,.378,.674,.299,74.9,0.23,-1.26
456,±èµ¿ÇÑ19·Ô2B,42,85,78,9,22,4,0,0,26,2,3,2,6,0,0,15,1,1,0,.282,.333,.333,.667,.313,86.6,0.23,-0.29
457,½Å¹ÎÀç20LCF,67,31,25,26,8,1,0,0,9,5,8,2,4,0,0,3,1,2,0,.320,.414,.360,.774,.349,104.3,0.23,-0.11
458,ÀÌÀçÀ²20N,25,10,9,9,4,1,0,0,5,3,4,1,1,0,0,1,1,0,0,.444,.500,.556,1.056,.485,190.7,0.23,0.02
459,ÃÖ¿ëÁ¦20µÎC,28,49,44,9,13,0,1,0,15,9,0,0,4,0,0,8,2,1,0,.295,.354,.341,.695,.323,85.6,0.22,0.28
460,±è¹ÎÇÏ19ÇÑLF,72,140,125,14,32,6,0,2,44,14,5,2,9,3,0,41,4,2,1,.256,.319,.352,.671,.311,87.7,0.22,-0.66
461,±èÂùÇü20NSS,54,70,62,10,18,6,0,0,24,6,3,1,4,1,0,11,0,2,1,.290,.338,.387,.725,.325,85.6,0.22,0.16
462,ÇãµµÈ¯20KC,50,59,51,1,14,1,0,0,15,5,0,0,5,2,0,14,2,1,0,.275,.362,.294,.656,.317,80.6,0.22,0.54
463,ÀÌÈï·Ã19µÎC,27,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0,0,.310,.341,.405,.746,.345,106.8,0.22,-0.41
464,ÀÓº´¿í20Å°CF,12,41,37,3,10,4,0,0,14,6,3,0,4,0,1,10,1,0,0,.270,.342,.378,.720,.325,89.3,0.22,0.27
465,ÇãµµÈ¯21KC,44,89,74,7,20,3,0,2,29,15,0,0,6,2,0,16,3,7,0,.270,.342,.392,.733,.319,81.9,0.21,0.44
466,ÃÖÇü¿ì21KDH,66,292,243,32,56,7,1,9,92,37,0,0,46,3,6,48,7,0,0,.230,.360,.379,.738,.344,101.3,0.21,1.14
467,¹ÚÁØÅÂ18KRF,85,150,123,32,28,5,1,5,50,24,0,2,13,9,0,37,1,5,0,.228,.345,.407,.751,.326,86.1,0.21,0.15
468,ÀÌ¼º°ï20»ï1B,61,153,138,16,38,7,0,5,60,18,2,0,11,0,0,38,3,2,2,.275,.325,.435,.759,.336,91.9,0.21,-0.23
469,±è¹Î¼ö21·Ô2B,59,179,157,18,37,9,1,2,54,18,0,0,15,3,0,47,4,3,1,.236,.313,.344,.656,.307,73.3,0.21,-0.98
470,°ø¹Î±Ô19»ï1B,28,60,53,4,13,1,0,3,23,6,0,0,6,1,0,18,0,0,0,.245,.333,.434,.767,.352,108.8,0.21,0.10
471,¼Û¹Î¼·19KRF,104,64,53,24,16,0,1,0,18,4,0,3,7,2,0,13,0,1,1,.302,.397,.340,.736,.350,110.6,0.21,0.31
472,¹Ú°æ¼ö21K2B,90,225,194,22,39,9,0,7,69,27,0,1,26,3,2,60,6,2,0,.201,.305,.356,.661,.306,73.9,0.20,-0.70
473,±è¼º¹Î20SSS,9,16,14,4,4,0,0,2,10,4,0,0,1,1,0,3,0,0,0,.286,.375,.714,1.089,.457,164.6,0.20,0.15
474,±èÁÖÇü20Å°3B,38,50,43,8,10,3,0,1,16,6,0,1,4,2,0,10,0,1,0,.233,.327,.372,.699,.319,86.4,0.20,-0.33
475,ÃÖÇ×19S2B,52,147,127,12,29,5,0,0,34,14,2,0,16,2,0,24,3,1,1,.228,.322,.268,.590,.288,70.1,0.20,-1.09
476,°­Áø¼º19NLF,41,104,97,11,24,4,1,2,36,14,2,1,3,4,0,20,6,0,0,.247,.298,.371,.669,.311,83.5,0.19,0.18
477,±èÀÎÅÂ19µÎLF,26,70,60,6,14,2,1,2,24,7,1,1,8,0,0,12,2,1,1,.233,.319,.400,.719,.324,98.1,0.19,0.41
478,ÃÖ¿µÁø18»ï1B,61,140,126,13,37,7,0,4,56,18,2,4,10,0,0,30,6,2,2,.294,.341,.444,.785,.338,92.3,0.19,-0.61
479,ÃÖÁöÈÆ20SRF,125,510,461,63,117,19,5,1,149,27,18,6,34,5,0,79,4,7,3,.254,.310,.323,.633,.294,67.8,0.18,-2.64
480,Á¤Áø±â21SNLF,54,124,114,20,27,4,0,5,46,16,3,1,7,1,0,24,1,2,0,.237,.287,.404,.690,.312,77.2,0.18,0.07
481,¾ç¼®È¯20L3B,40,132,118,8,29,5,0,3,43,13,0,0,10,2,0,25,1,2,0,.246,.315,.364,.680,.310,82.5,0.18,-0.75
482,Àå¿îÈ£21ÇÑRF,73,253,216,30,56,9,0,0,65,20,2,5,23,7,0,57,5,5,2,.259,.347,.301,.648,.313,81.6,0.18,-0.63
483,±èÅÂÁø18N3B,20,35,31,5,11,0,0,1,14,3,1,2,3,0,0,5,0,1,0,.355,.412,.452,.863,.378,121.2,0.18,-0.02
484,ÀÌ¿øÀç19N1B,94,285,256,31,66,11,0,8,101,36,1,2,20,1,0,47,5,5,3,.258,.311,.395,.705,.318,88.5,0.17,-0.51
485,±è¼ºÇ¥21»ïCF,18,17,14,3,5,0,0,0,5,1,1,0,2,0,0,5,0,1,0,.357,.438,.357,.795,.369,117.3,0.17,-0.08
486,±èÁÖÇü21Å°SS,12,27,18,3,3,2,0,0,5,2,0,0,3,5,0,7,0,1,0,.167,.423,.278,.701,.358,107.5,0.17,0.00
487,¹é»ó¿ø18»ï2B,4,8,6,1,3,0,0,0,3,2,0,0,2,0,0,0,0,0,0,.500,.625,.500,1.125,.526,219.5,0.17,0.18
