,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1336,ÃÖÁøÇà18ÇÑLF,57,154,136,14,29,3,0,7,53,13,0,1,15,3,0,53,5,0,0,.213,.305,.390,.695,.307,69.2,-0.39,-0.26
1337,¿À¼±¿ì19KRF,27,57,53,5,8,1,1,1,14,4,0,0,3,1,0,24,0,0,0,.151,.211,.264,.475,.223,22.9,-0.39,-0.75
1338,¿ÀÀç¿ø21µÎ2B,44,77,70,6,12,3,0,0,15,5,2,0,6,0,0,18,3,0,1,.171,.234,.214,.448,.221,20.0,-0.39,-0.60
1339,³ªÁÖÈ¯21K3B,19,32,31,0,5,0,0,0,5,3,0,0,0,0,0,12,2,0,1,.161,.156,.161,.318,.150,-29.8,-0.40,-0.50
1340,±èÇå°ï20»ïRF,96,278,249,26,61,6,0,3,76,34,7,5,22,3,0,30,7,1,3,.245,.311,.305,.616,.291,64.8,-0.40,-1.14
1341,±è¿µÈ¯20KK2B,14,18,16,0,0,0,0,0,0,0,1,1,1,0,0,5,0,1,0,.000,.059,.000,.059,.041,-99.4,-0.40,-0.14
1342,ÇÑµ¿Èñ19·Ô3B,59,207,187,12,38,9,0,2,53,9,1,0,18,0,0,57,3,0,2,.203,.271,.283,.554,.263,52.4,-0.41,-1.93
1343,¼Û¹Î¼·18KLF,47,29,27,7,4,0,0,0,4,0,2,1,1,0,0,8,1,1,0,.148,.179,.148,.327,.152,-31.6,-0.41,-0.38
1344,³ëÅÂÇü21ÇÑ1B,17,48,42,6,5,1,0,0,6,1,0,0,6,0,0,14,0,0,0,.119,.229,.143,.372,.200,5.1,-0.42,-0.39
1345,¹Ú¼ºÇÑ18SSS,42,59,52,3,7,1,0,0,8,2,0,0,7,0,0,16,0,0,0,.135,.237,.154,.391,.201,2.6,-0.42,-0.37
1346,¸ðÅÍ20Å°3B,10,37,35,4,4,0,0,1,7,3,0,0,1,0,0,10,0,0,1,.114,.135,.200,.335,.149,-24.7,-0.43,-0.64
1347,¹Ý½½¶óÀÌÅ©18µÎRF,12,44,39,1,5,1,0,1,9,4,0,0,4,0,0,6,2,0,1,.128,.205,.231,.435,.199,4.5,-0.43,-0.20
1348,±èÁØÅÂ19·ÔC,43,104,88,10,14,3,0,0,17,8,0,0,12,2,0,23,1,2,0,.159,.275,.193,.468,.236,34.2,-0.44,-0.13
1349,À¯ÀåÇõ20ÇÑLF,30,46,42,3,7,1,0,0,8,0,0,1,4,0,0,18,0,0,0,.167,.239,.190,.430,.215,16.5,-0.44,-0.37
1350,±èÇüÁØ18NC,60,89,81,6,13,1,0,0,14,2,0,0,7,1,0,32,3,0,0,.160,.236,.173,.409,.204,5.5,-0.45,-0.99
1351,ÀÌÈ«±¸21KC,30,55,52,3,8,0,0,1,11,7,0,0,2,0,1,27,3,0,1,.154,.182,.212,.393,.176,-13.3,-0.45,-0.47
